label,name
337,train_station/platform
338,tree_farm
339,tree_house
340,trench
341,tundra
342,underwater/ocean_deep
343,utility_room
344,valley
345,vegetable_garden
346,veterinarians_office
347,viaduct
348,village
349,vineyard
350,volcano
351,volleyball_court/outdoor
352,waiting_room
353,water_park
354,water_tower
355,waterfall
356,watering_hole
357,wave
358,wet_bar
359,wheat_field
360,wind_farm
361,windmill
362,yard
363,youth_hostel
364,zen_garden
